30F33A	+plugg srl
FC6198	NEC Personal Products, Ltd
0060B9	NEC Platforms, Ltd
000D02	NEC Platforms, Ltd.
0015EF	NEC TOKIN Corporation
001827	NEC UNIFIED SOLUTIONS NEDERLAND B.V.
CCB691	NECMagnusCommunications
00E0C2	NECSY S.p.A.
000DA0	NEDAP N.V.
002576	NELI TECHNOLOGIES
142971	NEMOA ELECTRONICS (HK) CO. LTD
E85484	NEO Information Systems Co., Ltd.
D47B35	NEO Monitors AS
009070	NEO NETWORKS, INC.
9C7BD2	NEOLAB Convergence
ECF236	NEOMONTANA ELECTRONICS
7CE044	NEON Inc
0030EF	NEON TECHNOLOGY, INC.
00E08C	NEOPARADIGM LABS, INC.
000DCC	NEOSMART Corp.
00261C	NEOVIA INC.
00249D	NES Technology Inc.
000A17	NESTAR COMMUNICATIONS, INC
0080B2	NET (Network Equipment Technologies)
00105B	NET INSIGHT AB
806CBC	NET New Electronic Technology GmbH
485415	NET RULES TECNOLOGIA EIRELI
0050CA	NET TO NET TECHNOLOGIES
0040CE	NET-SOURCE, INC.
84DF0C	NET2GRID BV
006015	NET2NET CORPORATION
005091	NETACCESS, INC.
005036	NETCAM, LTD.
001DFB	NETCLEUS Systems Corporation
0080CA	NETCOM RESEARCH INCORPORATED
00905D	NETCOM SICHERHEITSTECHNIK GMBH
006064	NETCOMM LIMITED
001951	NETCONS, s.r.o.
001092	NETCORE INC.
00902F	NETCORE SYSTEMS, INC.
00A0AB	NETCS INFORMATIONSTECHNIK GMBH
00A004	NETPOWER, INC.
00201E	NETQUEST CORPORATION
006040	NETRO CORP.
00103E	NETSCHOOLS CORPORATION
00E0D0	NETSPEED, INC.
006013	NETSTAL MASCHINEN AG
0060C3	NETVISION CORPORATION
00505A	NETWORK ALCHEMY, INC.
0090FC	NETWORK COMPUTING DEVICES
00D0A8	NETWORK ENGINES, INC.
006010	NETWORK MACHINES, INC.
00C054	NETWORK PERIPHERALS, LTD.
008020	NETWORK PRODUCTS
08008C	NETWORK RESEARCH CORPORATION
000034	NETWORK RESOURCES CORPORATION
00204E	NETWORK SECURITY SYSTEMS, INC.
00A067	NETWORK SERVICES GROUP
00102E	NETWORK SYSTEMS & TECHNOLOGIES PVT. LTD.
000C82	NETWORK TECHNOLOGIES INC
006056	NETWORK TOOLS, INC.
002043	NEURON COMPANY LIMITED
6405BE	NEW LIGHT LED
1C35F1	NEW Lift Neue Elektronische Wege Steuerungsbau GmbH
00257E	NEW POS Technology Limited
002720	NEW-SOL COM
00507E	NEWER TECHNOLOGY
004099	NEWGEN SYSTEMS CORP.
00801C	NEWPORT SYSTEMS SOLUTIONS
00D084	NEXCOMM SYSTEMS, INC.
24AF54	NEXGEN Mediatech Inc.
005000	NEXO COMMUNICATIONS, INC.
A00627	NEXPA System
0090DB	NEXT LEVEL COMMUNICATIONS
00D0F7	NEXT NETS CORPORATION
002591	NEXTEK, Inc.
0060F6	NEXTEST COMMUNICATIONS PRODUCTS, INC.
00076A	NEXTEYE Co., Ltd.
00D0EA	NEXTONE COMMUNICATIONS, INC.
001DEE	NEXTVISION SISTEMAS DIGITAIS DE TELEVISÃO LTDA.
008030	NEXUS ELECTRONICS
00E0DC	NEXWARE CORP.
0014CE	NF CORPORATION
001270	NGES Denro Systems
44C56F	NGN Easy Satfinder (Tianjin) Electronic Co., Ltd
00A0E5	NHC COMMUNICATIONS
BC8AA3	NHN Entertainment
000661	NIA Home Technologies Corp.
5CE0F6	NIC.br- Nucleo de Informacao e Coordenacao do Ponto BR
00C0DA	NICE SYSTEMS LTD.
0002D6	NICE Systems
000047	NICOLET INSTRUMENTS CORP.
00308A	NICOTRA SISTEMI S.P.A
00238F	NIDEC COPAL CORPORATION
0018AD	NIDEC SANKYO CORPORATION
000BF7	NIDEK CO.,LTD
E817FC	NIFTY Corporation
0019A0	NIHON DATA SYSTENS, INC.
00A09A	NIHON KOHDEN AMERICA
000E41	NIHON MECHATRONICS CO.,LTD.
00903A	NIHON MEDIA TOOL INC.
0060A2	NIHON UNISYS LIMITED CO.
0090B5	NIKON CORPORATION
A01C05	NIMAX TELECOM CO.,LTD.
0016D9	NINGBO BIRD CO.,LTD.
28061E	NINGBO GLOBAL USEFUL ELECTRIC CO.,LTD
00178F	NINGBO YIDONG ELECTRONIC CO.,LTD.
0020BD	NIOBRARA R & D CORPORATION
000C11	NIPPON DEMPA CO.,LTD.
000BEC	NIPPON ELECTRIC INSTRUMENT, INC.
009028	NIPPON SIGNAL CO., LTD.
8CD2E9	NIPPON SMT Co.Ltｄ
0000D9	NIPPON TELEGRAPH & TELEPHONE
00605F	NIPPON UNISOFT CORPORATION
000987	NISHI NIPPON ELECTRIC WIRE & CABLE CO.,LTD.
009001	NISHIMU ELECTRONICS INDUSTRIES CO., LTD.
003047	NISSEI ELECTRIC CO., LTD.
00A04A	NISSHIN ELECTRIC CO., LTD.
000D38	NISSIN INC.
001274	NIT lab
0010D2	NITTO TSUSHINKI CO., LTD
0022FF	NIVIS LLC
001FCB	NIW Solutions
00E6D3	NIXDORF COMPUTER CORP.
00609A	NJK TECHNO CO.
000C9F	NKE Corporation
00A082	NKT ELEKTRONIK A/S
A041A7	NL Ministry of Defense
545EBD	NL Technologies
001426	NL Technology
9C5B96	NMR Corporation
002022	NMS Communications
24DA11	NO NDA Inc
001091	NO WIRES NEEDED BV
C4DA26	NOBLEX SA
000267	NODE RUNNER, INC.
002426	NOHMI BOSAI LTD.
E0A198	NOJA Power Switchgear Pty Ltd
0010B3	NOKIA MULTIMEDIA TERMINALS
00E003	NOKIA WIRELESS BUSINESS COMMUN
0050E8	NOMADIX INC.
002285	NOMUS COMM SYSTEMS
002696	NOOLIX Co., Ltd
4C1480	NOREGON SYSTEMS, INC
00405E	NORTH HILLS ISRAEL
000871	NORTHDATA Co., Ltd.
00201B	NORTHERN TELECOM/NETWORK
0080E4	NORTHWEST DIGITAL SYSTEMS, INC
009080	NOT LIMITED, INC.
94C6EB	NOVA electronics, Inc.
001C70	NOVACOMM LTDA
006082	NOVALINK TECHNOLOGIES, INC.
04FF51	NOVAMEDIA INNOVISION SP. Z O.O.
0017B8	NOVATRON CO., LTD.
0080C5	NOVELLCO DE MEXICO
00D09F	NOVTEK TEST SYSTEMS
988E4A	NOXUS(BEIJING) TECHNOLOGY CO.,LTD
001894	NPCore, Inc.
BC8B55	NPP ELIKS America Inc. DBA T&M Atlantic
B44CC2	NR ELECTRIC CO., LTD
00002C	NRC - Network Resources Corporation - MultiGate Hub1+, Hub2, etc
B0E50E	NRG SYSTEMS INC
0050E1	NS TECH ELECTRONICS SDN BHD
54A54B	NSC Communications Siberia Ltd
E88E60	NSD Corporation
3CEAFB	NSE AG
64557F	NSFOCUS Information Technology Co., Ltd.
0010E4	NSI CORPORATION
000576	NSM Technology Ltd.
30525A	NST Co., LTD
000FC4	NST co.,LTD.
00171C	NT MicroSystems, Inc.
743256	NT-ware Systemprg GmbH
0021CE	NTC-Metrotek
001A4E	NTI AG / LinMot
0024C0	NTI COMODO INC
7C6BF7	NTI co., ltd.
0060DB	NTP ELEKTRONIK A/S
00158F	NTT Advanced Technology Corporation
34EF8B	NTT Communications Corporation
004013	NTT Data Communication Systems Corp
00A044	NTT IT CO., LTD.
481063	NTT Innovation Institute, Inc.
00135D	NTTPC Communications, Inc.
4095BD	NTmore.Co.,Ltd
001078	NUERA COMMUNICATIONS, INC.
002410	NUETEQ Technology,Inc.
001F03	NUM AG
0013AF	NUMA Technology,Inc.
B85810	NUMERA, INC.
000B12	NURI Telecom Co., Ltd.
7CF429	NUUO Inc.
000C97	NV ADB TTV Technologies SA
001A85	NV Michel Van de Wiele
001062	NX SERVER, ILNC.
006037	NXP Semiconductors
000370	NXTV, Inc.
F8C397	NZXT Corp. Ltd.
DC05ED	Nabtesco  Corporation
BCA4E1	Nabto
000442	Nact
9C77AA	Nadasnv
000269	Nadatel Co., Ltd
0014B0	Naeil Community
000109	Nagano Japan Radio Co., Ltd.
EC8EAE	Nagravision SA
001760	Naito Densei Machida MFG.CO.,LTD
001FF7	Nakajima All Precision Co., Ltd.
000CD7	Nallatech Ltd
000CA5	Naman NZ LTd
50CD32	NanJing Chaoran Science & Technology Co.,Ltd.
B03850	Nanjing CAS-ZDC IOT SYSTEM CO.,LTD
DC9A8E	Nanjing Cocomm electronics co., LTD
A0DA92	Nanjing Glarun Atten Technology Co. Ltd.
000CB7	Nanjing Huazhuo Electronics Co., Ltd.
90C35F	Nanjing Jiahao Technology Co., Ltd.
B0B8D5	Nanjing Nengrui Auto Equipment CO.,Ltd
00245A	Nanjing Panda Electronics Company Limited
00073D	Nanjing Postel Telecommunications Co., Ltd.
F4472A	Nanjing Rousing Sci. and Tech. Industrial Co., Ltd
20DF3F	Nanjing SAC Power Grid Automation Co., Ltd.
00B78D	Nanjing Shining Electric Automation Co., Ltd
0C63FC	Nanjing Signway Technology Co., Ltd
001BF1	Nanjing SilverNet Software Co., Ltd.
30493B	Nanjing Z-Com Wireless Co.,Ltd
70305E	Nanjing Zhongke Menglian Information Technology Co.,LTD
90179B	Nanomegas
001140	Nanometrics Inc.
6CF97C	Nanoptix Inc.
44AAE8	Nanotec Electronic GmbH & Co. KG
A06E50	Nanotek Elektronik Sistemler Ltd. Sti.
002380	Nanoteq
180B52	Nanotron Technologies GmbH
68DB67	Nantong Coship Electronics Co., Ltd
D8B8F6	Nantworks
00116C	Nanwang Multimedia Inc.,Ltd
000DE9	Napatech Aps
D4F0B4	Napco Security Technologies
001CFF	Napera Networks Inc
00060F	Narad Networks Inc
000504	Naray Information & Communication Enterprise
001367	Narayon. Co., Ltd.
000DE8	Nasaco Electronics Pte. Ltd
E087B1	Nata-Info Ltd.
002157	National Datacast, Inc.
000589	National Datacomputer
00056E	National Enhance Technology, Inc.
C4C19F	National Oilwell Varco Instrumentation, Monitoring, and Optimization (NOV IMO)
DC052F	National Products Inc.
000C69	National Radio Astronomy Observatory
38F708	National Resource Management, Inc.
00A0D1	National Semiconductor		[COMPAQ Docking Station]
080017	National Semiconductor Corp. (used to have Network System Corp., wrong NSC)
00220B	National Source Coding Center
78995C	Nationz Technologies Inc
00020B	Native Networks, Inc.
F80F84	Natural Security SAS
002502	NaturalPoint
000211	Nature Worldwide Technology Corp.
6C15F9	Nautronix Limited
00099C	Naval Research Laboratory
00189D	Navcast Inc.
0007E3	Navcom Technology, Inc.
54EDA3	Navdy, Inc.
90A62F	Naver
D4F027	Navetas Energy Management
000E91	Navico Auckland Ltd
40C7C9	Naviit Inc.
00046A	Navini Networks
001DC8	Navionics Research Inc., dba SCADAmetrics
0026B1	Navis Auto Motive Systems, Inc.
001B4E	Navman New Zealand
0025C1	Nawoo Korea Corp.
00048C	Nayna Networks, Inc.
001352	Naztec, Inc.
00201A	Nbase
08000E	Ncr/At&T
245CBF	Ncse
0040C9	Ncube
00026E	NeGeN Access, Inc.
002217	Neat Electronics
C8A620	Nebula, Inc
8821E3	Nebusens, S.L.
000228	Necsom, Ltd.
0020C6	Nectec
80BAE6	Neets
000B6E	Neff Instrument Corp.
00013F	Neighbor World Co., Ltd.
001CB5	Neihua Network Technology Co.,LTD.(NHN)
002572	Nemo-Q International AB
001506	Neo Photonics
000728	Neo Telecom
000AF2	NeoAxiom Corp.
0011F3	NeoMedia Europe AG
0012A0	NeoMeridian Sdn Bhd
0001C4	NeoWave, Inc.
001748	Neokoros Brasil Ltda
00173D	Neology
00186C	Neonode AB
F8769B	Neopis Co., Ltd.
001B00	Neopost Technologies
002056	Neoproducts
0009D9	Neoscale Systems, Inc
3C8970	Neosfar
002432	Neostar Technology Co.,LTD
807D1B	Neosystem Co. Ltd.
1C7370	Neotech
00237C	Neotion
00117F	Neotune Information Technology Corporation,.LTD
78D004	Neousys Technology Inc.
D46867	Neoventus Design Group
38AC3D	Nephos Inc
001D01	Neptune Digital
0060C0	Nera Networks AS
6CE3B6	Nera Telecommunications Ltd.
00145A	Neratec Solutions AG
000C8F	Nergal s.r.l.
709C8F	Nero AG
001477	Nertec  Inc.
ACC935	Ness Corporation
0026F4	Nesslab
18B430	Nest Labs Inc.
08000A	Nestar Systems
B81999	Nesys
000200	Net & Sys Co., Ltd.
0002DF	Net Com Systems, Inc.
08F2F4	Net One Partners Co.,Ltd.
C8873B	Net Optics
0020F6	Net Tek & Karlnet Inc
0002C2	Net Vision Telecom
000D2C	Net2Edge Limited
0090D7	NetBoost Corp.
0002D3	NetBotz, Inc.
0003F4	NetBurner
001A5B	NetCare Service Co., Ltd.
00039B	NetChip Technology, Inc.
18F145	NetComm Wireless Limited
001255	NetEffect Incorporated
0004A4	NetEnabled, Inc.
00078D	NetEngines Ltd.
0011D4	NetEnrich, Inc
0008BB	NetExcell
00007E	NetFRAME multiprocessor network servers
0060FD	NetICs, Inc.
0003B8	NetKit Solutions, LLC
000EA0	NetKlass Technology Inc.
00018B	NetLinks Co., Ltd.
440CFD	NetMan Co., Ltd.
000375	NetMedia, Inc.
00112B	NetModule AG
000685	NetNearU Corporation
00A00E	NetScout Systems, Inc.
001161	NetStreams, LLC
002420	NetUP Inc.
940B2D	NetView Technologies(Shenzhen) Co., Ltd
400003	NetWare?	# Net Ware (?)
00B0F5	NetWorth Technologies, Inc.
0007C0	NetZerver Inc.
000E0B	Netac Technology Co., Ltd.
0080E5	Netapp
0009C3	Netas
000DB4	Netasq
70EE50	Netatmo
000899	Netbind, Inc.
000E2C	Netcodec co.
00058A	Netcom Co., Ltd.
004028	Netcomm
0009AB	Netcontrol Oy
0040F3	Netcor
048D38	Netcore Technology Inc.
00A008	Netcorp
44356F	Neterix
00C021	Netexpress
000672	Netezza
00121D	Netfabric Corporation
001DF2	Netflix, Inc.
00116F	Netforyou Co., LTD.
00095B	Netgear
000430	Netgem
D8C068	Netgenetech.co.,ltd.
50252B	Nethra Imaging Incorporated
0003BE	Netility
001BEC	Netio Technologies Co., Ltd
0030A9	Netiverse, Inc.
00109A	Netline
18B3BA	Netlogic AB
0004C7	Netmount
EC13B2	Netonix
00042E	Netous Technologies, Ltd.
000797	Netpower Co., Ltd.
0005E7	Netrake an AudioCodes Company
00C013	Netrix
808698	Netronics Technologies Inc.
000014	Netronix
000854	Netronix, Inc.
00154D	Netronome Systems, Inc.
000537	Nets Technology Co., Ltd.
00808C	Netscout Systems (formerly Frontier Software Development)
0002DB	Netsec
0001B8	Netsensity, Inc.
0013EC	Netsnapper Technologies SARL
00C012	Netspan Corp
000116	Netspect Technologies, Inc.
000F38	Netstar
00C080	Netstar Inc
2C3BFD	Netstor Technology Co., Ltd.
0007C2	Netsys Telecom
001366	Neturity Technologies Inc.
00C0BA	Netvantage
00137A	Netvox Technology Co., Ltd.
0020D8	Netwave
00C02E	Netwiz
001B40	Network Automation mxc AB
00185B	Network Chemistry, Inc
00C0F3	Network Communications Corp
0040ED	Network Controls International Inc
001DFF	Network Critical Solutions Ltd
0000EE	Network Designers Limited [also KNX Ltd, a former division]
000D39	Network Electronics
00021C	Network Elements, Inc.
001023	Network Equipment Technologies
0030E1	Network Equipment Technologies, Inc.
00409A	Network Express Inc
000065	Network General
0000A6	Network General (internal assignment, not for products)
00C08E	Network Information Technology
082CB0	Network Instruments
008060	Network Interface Corporation
0080D8	Network Peripherals
00A0AE	Network Peripherals, Inc.
00050C	Network Photonics, Inc.
008026	Network Products Corporation
008052	Network Professor
484C00	Network Solutions
001FDB	Network Supply Corp.,
0000A9	Network Systems
000956	Network Systems Group, Ltd. (NSG)
74B00C	Network Video Technologies, Inc
D8B6C1	NetworkAccountant, Inc.
005979	Networked Energy Services
00C05B	Networks Northwest Inc
008043	Networld Inc
000079	Networth Incorporated	[bought by Compaq, used in Netelligent series]
00E6E8	Netzin Technology Corporation,.Ltd.
00172F	NeuLion Incorporated
D0A311	Neuberger Gebäudeautomation GmbH
000B9F	Neue ELSA GmbH
C8A1BA	Neul Ltd
001B31	Neural Image. Co. Ltd.
0007DA	Neuro Telecom Co., Ltd.
000CE4	NeuroCom International, Inc.
74F726	Neuron Robotics
00068A	NeuronNet Co. Ltd. R&D Center
001811	Neuros Technology International, LLC.
00FD4C	Nevatec
001575	Nevis Networks Inc.
001C80	New Business Division/Rhea-Information CO., LTD.
0023A4	New Concepts Development Corp.
7CD9FE	New Cosmos Electric Co., Ltd.
000528	New Focus, Inc.
001C83	New Level Telecom Co., Ltd.
00E0ED	New Link
00C015	New Media Corp
0019BD	New Media Life
5CE7BF	New Singularity International Technical Development Co.,Ltd
DCA8CF	New Spin Golf, LLC.
0018B8	New Voice International AG
000E75	New York Air Brake Corp.
C8F9C8	NewSharp Technology(SuZhou)Co,Ltd
001573	NewSoft  Technology Corporation
807693	Newag SA
000D42	Newbest Development Limited
008021	Newbridge Networks Corporation
604826	Newbridge Technologies Int. Ltd.
001C6E	Newbury Networks, Inc.
000EB1	Newcotech,Ltd
0020A5	Newer Technology
702DD1	Newings Communication CO., LTD.
00093D	Newisys,Inc.
909DE0	Newland Design + Assoc. Inc.
58ECE1	Newport Corporation
000334	Newport Electronics
F8F005	Newport Media Inc.
000981	Newport Networks
848336	Newrun
000639	Newtec
000B5C	Newtech Co.,Ltd
4C3910	Newtek Electronics co., Ltd.
000E34	NexGen City, LP
F49461	NexGen Storage
001224	NexQL Corporation
0010F3	Nexcom International Co., Ltd.
001F14	Nexg
34CC28	Nexpring Co. LTD.,
000402	Nexsan Technologies, Ltd.
000403	Nexsi Corporation
00000F	Next
64D02D	Next Generation Integration (NGI)
0008F0	Next Generation Systems, Inc.
68FCB3	Next Level Security Systems, Inc.
BC2846	NextBIT Computing Pvt. Ltd.
001C81	NextGen Venturi LTD
0011D3	NextGenTel Holding ASA
001FAF	NextIO, Inc.
28BA18	NextNav, LLC
0003D7	NextNet Wireless, Inc.
00B0DB	Nextcell, Inc.
0001A5	Nextcomm, Inc.
00185E	Nexterm Inc.
0008E9	Nextgig
001D13	Nextgtv
000CC5	Nextlink Co., Ltd.
002418	Nextwave Semiconductor
000FAA	Nexus Technologies
C02567	Nexxt Solutions
0C5F35	Niagara Video Corporation
000B98	NiceTechVision
000F5F	Nicety Technologies Inc. (NTS)
0015D5	Nicevt
F455E0	Niceway CNC Technology Co.,Ltd.Hunan Province
002320	Nicira Networks
645FFF	Nicolet Neuro
00036E	Nicon Systems (Pty) Limited
442938	NietZsche enterprise Co.Ltd.
00199E	Nifty
542B57	Night Owl SP
00088E	Nihon Computer Co., Ltd.
68234B	Nihon Dengyo Kousaku
000AD0	Niigata Develoment Center,  F.I.T. Co., Ltd.
3C6A7D	Niigata Power Systems Co., Ltd.
000E46	Niigata Seimitsu Co.,Ltd.
9CA134	Nike, Inc.
001DE8	Nikko Denki Tsushin Corporation(NDTC)
00112A	Niko NV
AC3CB4	Nilan A/S
001351	Niles Audio Corporation
00309D	Nimble Microsystems, Inc.
6C9CE9	Nimble Storage
6C40C6	Nimbus Data Systems, Inc.
806459	Nimbus Inc.
0090A8	NineTiles Networks, Ltd.
000D4D	Ninelanes
0026D6	Ningbo Andy Optoelectronic Co., Ltd.
A0E9DB	Ningbo FreeWings Technologies Co.,Ltd
1414E6	Ningbo Sanhe Digital Co.,Ltd
0009BF	Nintendo Co., Ltd.
98B6E9	Nintendo Co.,Ltd
000369	Nippon Antenna Co., Ltd.
00C006	Nippon Avionics Co Ltd
002279	Nippon Conlux Co., Ltd.
642184	Nippon Denki Kagaku Co.,LTD
000FFB	Nippon Denso Industry Co., Ltd.
000DBB	Nippon Dentsu Co.,Ltd.
D8160A	Nippon Electro-Sensory Devices
0008CF	Nippon Koei Power Systems Co., Ltd.
00806E	Nippon Steel Corporation
0003CB	Nippon Systems Development Co., Ltd.
00C059	Nippondenso Corp
9C3583	Nipro Diagnostics, Inc
0006B6	Nir-Or Israel Ltd.
000F13	Nisca corporation
70AF25	Nishiyama Industry Co.,LTD.
00266E	Nissho-denki Co.,LTD.
008049	Nissin Electric Co Ltd
000BF6	Nitgen Co., Ltd
001550	Nits Technology Inc
001615	Nittan Company, Limited
0026F7	Nivetti Systems Pvt. Ltd.
001629	Nivus GmbH
000C06	Nixvue Systems  Pte Ltd
001B50	Nizhny Novgorod Factory named after M.Frunze, FSUE (NZiF)
000316	Nobell Communications, Inc.
143F27	Noccela Oy
002067	Node Runner Inc
00D0F6	Nokia
00192D	Nokia Corporation
0002EE	Nokia Danmark A/S
004043	Nokia Data Communications
00152A	Nokia GmbH
000BE1	Nokia NET Product Operations
000FBB	Nokia Siemens Networks GmbH & Co. KG.
00149B	Nokota Communications, LLC
001571	Nolan Systems
C88B47	Nolangroup S.P.A con Socio Unico
0463E0	Nome Oy
001C05	Nonin Medical Inc.
6CBFB5	Noon Technology Co., Ltd
00C0B2	Norand Corporation
00C00B	Norcontrol A.S.
0022B8	Norcott
002708	Nordiag ASA
0021AD	Nordic ID Oy
0025F3	Nordwestdeutsche Zählerrevision
742D0A	Norfolk Elektronik AG
000A4D	Noritz Corporation
1045BE	Norphonic AS
000348	Norscan Instruments, Ltd.
080026	Norsk Data (Nord)
7C822D	Nortec
0014E9	Nortech International
8C6878	Nortek-AS
0090CF	Nortel
000181	Nortel Networks
00908E	Nortel Networks Broadband Access
0016C6	North Atlantic Industries
00072E	North Node AB
701DC4	NorthStar Battery Company, LLC
0005AC	Northern Digital, Inc.
000F49	Northover Solutions Limited
00198A	Northrop Grumman Systems Corp.
000534	Northstar Engineering Ltd.
0021DD	Northstar Systems Corp
002595	Northwest Signal Supply, Inc
F462D0	Not for Radio, LLC
00061B	Notebook Development Lab.  Lenovo Japan Ltd.
002166	NovAtel Inc.
C8028F	Nova Electronics (Shanghai) Co., Ltd.
5CB6CC	NovaComm Technologies Inc.
005010	NovaNET Learning, Inc.
000AFE	NovaPal Ltd
EC8009	NovaSparks
8058C5	NovaTec Kommunikationstechnik GmbH
00909D	NovaTech Process Solutions, LLC
00070B	Novabase SGPS, SA
4C1A95	Novakon Co., Ltd.
6C7039	Novar GmbH
0007A9	Novasonics
0008AF	Novatec Corporation
000858	Novatechnology Inc.
38EC11	Novatek Microelectronics Corp.
0015FF	Novatel Wireless Solutions, Inc.
001661	Novatium Solutions (P) Ltd
000204	Novell
00001B	Novell (now Eagle Technology)
52544C	Novell 2000
EC3BF0	Novelsat
00198B	Novera Optics Korea, Inc.
00233D	Novero holding B.V.
4CB76D	Novi Security
8059FD	Noviga
0022B5	Novita
001465	Novo Nordisk A/S
0012DF	Novomatic AG
000676	Novra Technologies Inc.
00809A	Novus Networks Ltd
0026A4	Novus Produtos Eletronicos Ltda
001B9D	Novus Security Sp. z o.o.
0010DB	Now part of Juniper Networks
001D77	Nsgate
78D99F	NuCom HK Ltd.
B0435D	NuLEDs, Inc.
0025ED	NuVo Technologies LLC
000824	Nuance Document Imaging
000515	Nuark Co., Ltd.
0000AF	Nuclear Data			Acquisition Interface Modules (AIM)
00222B	Nucomm, Inc.
001C21	Nucsafe Inc.
000988	Nudian Electron Co., Ltd.
D8197A	Nuheara Ltd
54D272	Nuki Home Solutions GmbH
0018E9	Numata Corporation
001524	Numatics, Inc.
000E4D	Numesa Inc.
00C07F	Nupon Computing Corp
E0E7BB	Nureva, Inc.
74BFB7	Nusoft Corporation
506B8D	Nutanix
001308	Nuvera Fuel Cells
5C6984	Nuvico
443D21	Nuvolt
6465C0	Nuvon, Inc
5087B8	Nuvyyo Inc
000BD5	Nvergence, Inc.
00044B	Nvidia
F0933A	NxtConect
00131F	NxtPhase T&D, Corp.
0017AC	O'Neil Product Development Inc.
000DD5	O'RITE TECHNOLOGY CO.,LTD
347877	O-Net Communications (Shenzhen) Limited
5C2443	O-Sung Telecom Co., Ltd.
00A0DC	O.N. ELECTRONIC CO., LTD.
00D051	O2 MICRO, INC.
001297	O2Micro, Inc.
0020A0	OA LABORATORY CO., LTD.
00B033	OAO Izhevskiy radiozavod
0CA42A	OB Telecom Electronic Technology Co., Ltd
001031	OBJECTIVE COMMUNICATIONS, INC.
0025FD	OBR Centrum Techniki Morskiej S.A.
002084	OCE PRINTING SYSTEMS, GMBH
002523	OCP Inc.
7487A9	OCT Technology Co., Ltd.
00200B	OCTAGON SYSTEMS CORP.
0020FB	OCTEL COMMUNICATIONS CORP.
00BB01	OCTOTHORPE CORP.
000C2A	OCTTEL Communication Co., Ltd.
ACCA8E	ODA Technologies
0040F5	OEM Engines
002617	OEM Worldwide
00193A	OESOLUTIONS
002019	OHLER GMBH
00101C	OHM TECHNOLOGIES INTL, LLC
14CF8D	OHSUNG ELECTRONICS CO., LTD.
98F5A9	OHSUNG ELECTRONICS CO.,LTD.
0010C1	OI ELECTRIC CO.,LTD
002338	OJ-Electronics A/S
1CBBA8	OJSC Ufimskiy Zavod Promsvyaz
0009AE	OKANO ELECTRIC CO.,LTD
0030A8	OL'E COMMUNICATIONS, INC.
00504F	OLENCOM ELECTRONICS
0050EC	OLICOM A/S
00AA3C	OLIVETTI TELECOM SPA (OLTECO)
000113	OLYMPUS CORPORATION
00C0D3	OLYMPUS IMAGE SYSTEMS, INC.
00D0B1	OMEGA ELECTRONICS SA
20B7C0	OMICRON electronics GmbH
0030CB	OMNI FLOW COMPUTERS, INC.
0025E4	OMNI-WiFi, LLC
0090BD	OMNIA COMMUNICATIONS, INC.
00189E	OMNIKEY GmbH.
005002	OMNISEC AG
44E49A	OMNITRONICS PTY LTD
0010A3	OMNITRONIX, INC.
B0495F	OMRON HEALTHCARE Co., Ltd.
00000A	OMRON TATEISI ELECTRONICS CO.
84F493	OMS spol. s.r.o.
94ABDE	OMX Technology - FZE
001942	ON SOFTWARE INTERNATIONAL LIMITED
60C0BF	ON Semiconductor
101D51	ON-Q LLC dba ON-Q Mesh Networks
00909A	ONE WORLD SYSTEMS, INC.
002082	ONEAC CORPORATION
00303C	ONNTO CORP.
003077	ONPREM NETWORKS
000734	ONStor, Inc.
0012AC	ONTIMETEK INC.
3829DD	ONvocal Inc
2005E8	OOO InProMedia
002657	OOO NPP EKRA
6C2C06	OOO NPP Systemotechnika-NN
2C7B84	OOO Petr Telegin
44C39B	OOO RUBEZH NPO
64A232	OOO Samlight
705986	OOO TTV
386645	OOSIC Technology CO.,Ltd
001015	OOmon Inc.
000127	OPEN Networks Pty Ltd
249442	OPEN ROAD SOLUTIONS , INC.
00150E	OPENBRAIN TECHNOLOGIES CO., LTD.
001F11	OPENMOKO, INC.
E8EF89	OPMEX Tech.
000ABE	OPNET Technologies CO., LTD.
0022DE	OPPO Digital, Inc.
001FD1	OPTEX CO.,LTD.
FCF1CD	OPTEX-FA CO.,LTD.
003007	OPTI, INC.
001A05	OPTIBASE LTD
00E065	OPTICAL ACCESS INTERNATIONAL
00301F	OPTICAL NETWORKS, INC.
0090C6	OPTIM SYSTEMS, INC.
00D0FD	OPTIMA TELE.COM, INC.
00508E	OPTIMATION, INC.
0012FD	OPTIMUS IC S.A.
00A0E4	OPTIQUEST
0090AC	OPTIVISION, INC.
00126A	OPTOELECTRONICS Co., Ltd.
0050A6	OPTRONICS
001C13	OPTSYS TECHNOLOGY CO., LTD.
F02405	OPUS High Technology Corporation
0018C6	OPW Fuel Management Systems
68DB96	OPWILL Technologies CO .,LTD
000C96	OQO, Inc.
8002DF	ORA Inc.
000C1B	ORACOM Co, Ltd.
00D0F5	ORANGE MICRO, INC.
8CF813	ORANGE POLSKA
7812B8	ORANTEK LIMITED
00304B	ORBACOM SYSTEMS, INC.
706417	ORBIS TECNOLOGIA ELECTRICA S.A.
8841C1	ORBISAT DA AMAZONIA IND E AEROL SA
003051	ORBIT AVIONIC & COMMUNICATION
B42A39	ORBIT MERRET, spol. s r. o.
08003A	ORCATECH INC.
0060E1	ORCKIT COMMUNICATIONS LTD.
0019A2	ORDYN TECHNOLOGIES
00D0AE	ORESIS COMMUNICATIONS, INC.
